experiment,pipeline,run_name,target_level,total_samples,exact_match_count,partial_match_count,complete_mismatch_count,emr
exp2,traditional,LP_Basic_Unigram_TFIDF_NB,unknown,3049,1379,338,1332,0.4523
exp2,traditional,LP_Basic_Unigram_TFIDF_SVM,unknown,3049,1487,347,1215,0.4877
exp2,transformers,IndoBERT-LEM_basic_lr2e-05_bs32,basic,3049,1386,884,779,0.4546
exp2,transformers,IndoBERT-LEM_basic_lr3e-05_bs32,basic,3049,1382,847,820,0.4533
exp2,transformers,IndoBERT-LEM_basic_lr5e-05_bs32,basic,3049,1196,1112,741,0.3923
exp2,transformers,IndoBERT-LEM_fine_lr2e-05_bs32,fine,3049,722,1281,1046,0.2368
exp2,transformers,IndoBERT-LEM_fine_lr3e-05_bs32,fine,3049,718,1196,1135,0.2355
exp2,transformers,IndoBERT-LEM_fine_lr5e-05_bs32,fine,3049,767,1102,1180,0.2516
exp2,transformers,IndoBERT_basic_lr2e-05_bs32,basic,3049,1445,777,827,0.4739
exp2,transformers,IndoBERT_basic_lr3e-05_bs32,basic,3049,1389,873,787,0.4556
exp2,transformers,IndoBERT_basic_lr5e-05_bs32,basic,3049,1419,788,842,0.4654
exp2,transformers,IndoBERT_fine_lr2e-05_bs32,fine,3049,825,1107,1117,0.2706
exp2,transformers,IndoBERT_fine_lr3e-05_bs32,fine,3049,855,1082,1112,0.2804
exp2,transformers,IndoBERT_fine_lr5e-05_bs32,fine,3049,810,1088,1151,0.2657
exp2,transformers,IndoBERTweet_basic_lr2e-05_bs32,basic,3049,1527,779,743,0.5008
exp2,transformers,IndoBERTweet_basic_lr3e-05_bs32,basic,3049,1509,797,743,0.4949
exp2,transformers,IndoBERTweet_basic_lr5e-05_bs32,basic,3049,1467,854,728,0.4811
exp2,transformers,IndoBERTweet_fine_lr2e-05_bs32,fine,3049,876,1190,983,0.2873
exp2,transformers,IndoBERTweet_fine_lr3e-05_bs32,fine,3049,918,1110,1021,0.3011
exp2,transformers,IndoBERTweet_fine_lr5e-05_bs32,fine,3049,945,1083,1021,0.3099
exp2,transformers,XLM-R_basic_lr2e-05_bs32,basic,3049,1332,1040,677,0.4369
exp2,transformers,XLM-R_basic_lr3e-05_bs32,basic,3049,1314,1030,705,0.431
exp2,transformers,XLM-R_basic_lr5e-05_bs32,basic,3049,1408,861,780,0.4618
exp2,transformers,XLM-R_fine_lr2e-05_bs32,fine,3049,771,1222,1056,0.2529
exp2,transformers,XLM-R_fine_lr3e-05_bs32,fine,3049,794,1207,1048,0.2604
exp2,transformers,XLM-R_fine_lr5e-05_bs32,fine,3049,785,1224,1040,0.2575
exp2,transformers,mmBERT_basic_lr2e-05_bs32,basic,3049,1309,941,799,0.4293
exp2,transformers,mmBERT_basic_lr3e-05_bs32,basic,3049,1401,797,851,0.4595
exp2,transformers,mmBERT_basic_lr5e-05_bs32,basic,3049,1330,886,833,0.4362
exp2,transformers,mmBERT_fine_lr2e-05_bs32,fine,3049,737,1052,1260,0.2417
exp2,transformers,mmBERT_fine_lr3e-05_bs32,fine,3049,694,1180,1175,0.2276
exp2,transformers,mmBERT_fine_lr5e-05_bs32,fine,3049,779,1090,1180,0.2555
